XBMC's InfoLabels (10/18/2010)
==============================
AudioScrobbler.ConnectState						Connected to the audioscrobbler		
AudioScrobbler.SubmitInterval					Shows next reconnect when submission failed
AudioScrobbler.FilesCached						Number of cached songs
AudioScrobbler.SubmitState						Shows time left until the current song is submitted
Container.FolderPath							Shows complete path of currently displayed folder
Container.FolderName							Shows top most folder in currently displayed folder
Container.Viewmode								Returns the current viewmode (list, icons etc.)
Container.SortMethod							Returns the current sort method (name, year, rating, etc.)
Container.PluginName							Returns the current plugins base folder name
Container.PluginCategory						Returns the current plugins category (set by the scripter)
Container.ShowPlot								Returns the TV Show Plot of the current container and can be used at season and episode level
Container(id).NumPages							Number of pages in the container with given id. If no id is specified it grabs the current container.
Container(id).NumItems							Number of items in the container with given id. If no id is specified it grabs the current container.
Container(id).CurrentPage						Current page in the container with given id. If no id is specified it grabs the current container.
Container(id).Position							Returns the current focused position of Container (id) as a numeric label.
Container(id).ListItem(offset).Label			Shows ListItem.Label for a specific List or Panel Container with a offset ( eg: Container(50).Listitem(2).Label )
Container(id).ListItem(offset).Label2			Shows ListItem.Label2 for a specific List or Panel Container with a offset ( eg: Container(50).Listitem(-2).Label2 )
Container(id).ListItem(offset).Icon				Shows ListItem.Icon for a specific List or Panel Container with a offset ( eg: Container(52).Listitem(1).Icon)
Container(id).ListItem(offset).ActualIcon		Shows ListItem.ActualIcon for a specific List or Panel Container with a offset ( eg: Container(50).Listitem(0).ActualIcon )
Container(id).ListItem(offset).Thumb			Shows ListItem.Thumb for a specific List or Panel Container with a offset ( eg: Container(50).Listitem(0).Thumb )
Container.Property(addoncategory)				Returns the current add-on category
Container.Property(reponame)					Returns the current add-on repository name
Control.GetLabel(id)							Returns the label value or texture name of the control with the given id.
Fanart.Color1									Returns the first of three colors included in the currently selected Fanart theme for the parent TV Show. Colors are arranged Lightest to Darkest.
Fanart.Color2									Returns the second of three colors included in the currently selected Fanart theme for the parent TV Show. Colors are arranged Lightest to Darkest.
Fanart.Color3									Returns the third of three colors included in the currently selected Fanart theme for the parent TV Show. Colors are arranged Lightest to Darkest.
Listitem.Label									Shows the left label of the currently selected item in a list or thumb control
ListItem.Label2									Shows the right label of the currently selected item in a list or thumb control
ListItem.Title									Shows the title of the currently selected song or movie in a list or thumb control
ListItem.OriginalTitle							Shows the original title of the currently selected movie in a list or thumb control
ListItem.SortLetter								Shows the first letter of the current file in a list or thumb control
ListItem.TrackNumber							Shows the track number of the currently selected song in a list or thumb control
ListItem.Artist									Shows the artist of the currently selected song in a list or thumb control
ListItem.Property(Artist_Born)					Date of Birth of the currently selected Artist
ListItem.Property(Artist_Died)					Date of Death of the currently selected Artist
ListItem.Property(Artist_Formed)				Formation date of the currently selected Band
ListItem.Property(Artist_Disbanded)				Disbanding date of the currently selected Band
ListItem.Property(Artist_YearsActive)			Years the currently selected artist has been active
ListItem.Property(Artist_Instrument)			Instruments played by the currently selected artist
ListItem.Property(Artist_Description)			Shows a biography of the currently selected artist
ListItem.Property(Artist_Mood)					Shows the moods of the currently selected artist
ListItem.Property(Artist_Style)					Shows the styles of the currently selected artist
ListItem.Property(Artist_Genre)					Shows the genre of the currently selected artist
ListItem.Album									Shows the album of the currently selected song in a list or thumb control
ListItem.Property(Album_Mood)					Shows the moods of the currently selected Album
ListItem.Property(Album_Style)					Shows the styles of the currently selected Album
ListItem.Property(Album_Theme)					Shows the themes of the currently selected Album
ListItem.Property(Album_Type)					Shows the Album Type (e.g. compilation, enhanced, explicit lyrics) of the currently selected Album
ListItem.Property(Album_Label)					Shows the record label of the currently selected Album
ListItem.Property(Album_Description)			Shows a review of the currently selected Album
ListItem.Year									Shows the year of the currently selected song, album or movie in a list or thumb control
ListItem.Premiered								Shows the release/aired date of the currently selected episode, show or movie in a list or thumb control
ListItem.Genre									Shows the genre of the currently selected song, album or movie in a list or thumb control
ListItem.Director								Shows the director of the currently selected movie in a list or thumb control
ListItem.Country								Shows the production country of the currently selected movie in a list or thumb control
ListItem.Episode								Shows the number of total, watched or unwatched episodes for the currently selected tvshow or season based on the the current watched filter
ListItem.Season									Shows the season value for the currently selected tvshow
ListItem.TVShowTitle							Shows the name value for the currently selected tvshow in the season and episode depth of the video library
ListItem.Property(TotalEpisodes)				Shows the total number of episodes for the currently selected tvshow or season
ListItem.Property(WatchedEpisodes)				Shows the number of watched episodes for the currently selected tvshow or season
ListItem.Property(UnWatchedEpisodes)			Shows the number of unwatched episodes for the currently selected tvshow or season
ListItem.Property(NumEpisodes)					Shows the number of total, watched or unwatched episodes for the currently selected tvshow or season, based on the the current watched filter. (same as ListItem.Episode)
ListItem.PictureResolution						Shows the dimensions of the selected picture
ListItem.PictureDateTime						Shows the date/timestamp of the selected picture
ListItem.FileName								Shows the filename of the currently selected song or movie in a list or thumb control
ListItem.Path									Shows the complete path of the currently selected song or movie in a list or thumb control
ListItem.FolderName								Shows top most folder of the path of the currently selected song or movie in a list or thumb control
ListItem.FileNameAndPath						Shows the full path with filename of the currently selected song or movie in a list or thumb control
